"SEXO"	"EDAD"	"MES"	"ESTATURA"	"PESO"	"PROVINCIA"	"X"	"ACCESOS"	"TIPO"	"GASTO"	"COMPRA1"	"GASTO2"	"COMPRA2"
"mujer"	20	6	164	54	""	3	30	"pilates"	6,124	"si"	7,385	"no"
"mujer"	20	7	164	53	""	4	10	"pilates"	8,05	"si"	10,98	"no"
"varon"	19	11	185	70	""	5	30	"pilates"	8,541	"no"	10,426	"no"
"varon"	19	12	174	63	""	8	20	"fitness"	9,841	"no"	12,32	"no"
"varon"	20	6	179	63	""	5	12	"pilates"	8,735	"no"	9,394	"si"
"mujer"	23	10	159	54	"Alicante"	5	65	"yoga"	10,902	"no"	12,78	"si"
"mujer"	21	5	160	48	"Alicante"	7	45	"yoga"	11,872	"no"	9,619	"si"
"mujer"	21	4	155	48	"Alicante"	3	30	"fitness"	10,097	"no"	6,895	"si"
"mujer"	20	8	163	57	"Alicante"	7	25	"aparatos"	10,014	"no"	6,346	"si"
"mujer"	22	4	172	59	"Alicante"	7	45	"yoga"	8,964	"no"	10,015	"si"
"mujer"	20	10	166	54	"Alicante"	5	45	"spinning"	10,196	"no"	11,07	"si"
"mujer"	21	9	160	49	"Alicante"	4	30	""	5,856	"no"	11,422	"si"
"mujer"	20	3	163	60	"Alicante"	6	20	"aparatos"	10,346	"no"	8,525	"si"
"mujer"	21	9	163	56	"Alicante"	3	45	"fitness"	9,617	"no"	11,842	"si"
"mujer"	19	12	167	53	"Alicante"	8	20	"yoga"	10,519	"no"	13,121	"si"
"varon"	21	6	185	72	"Alicante"	8	10	"aparatos"	8,007	"no"	7,969	"si"
"varon"	20	6	175	84	"Alicante"	7	40	"aparatos"	15,609	"no"	5,842	"si"
"varon"	32	10	181	67	"Alicante"	7	35	"aparatos"	12,45	"no"	9,967	"si"
"varon"	26	2	175	63	"Alicante"	7	16	"pilates"	11,204	"no"	12,755	"si"
"varon"	21	1	180	72	"Alicante"	3	15	"aparatos"	12,289	"no"	8,427	"si"
"varon"	20	1	171	75	"Alicante"	8	15	"yoga"	13,391	"no"	11,128	"si"
"varon"	20	6	179	69	"Alicante"	6	25	"aparatos"	10,293	"no"	14,324	"si"
"varon"	20	8	168	56	"Alicante"	5	20	"yoga"	8,555	"no"	11,371	"si"
"varon"	20	6	191	86	"Alicante"	3	10	"yoga"	10,065	"no"	11,656	"si"
"varon"	22	6	167	60	"Alicante"	9	20	"yoga"	10,514	"no"	11,375	"si"
"varon"	20	5	169	75	"Alicante"	7	15	"fitness"	8,496	"no"	11,673	"si"
"varon"	22	4	186	73	"Alicante"	7	8	"aparatos"	5,227	"no"	12,085	"si"
"varon"	21	9	180	90	"Alicante"	7	15	"fitness"	10,654	"no"	9,279	"si"
"varon"	19	12	175	65	"Alicante"	3	15	"aparatos"	NA	"no"	6,15	"si"
"mujer"	22	6	162	48	"Castellon"	3	75	"aparatos"	11,403	"no"	9,714	"si"
"mujer"	21	6	170	63	"Castellon"	7	65	"aparatos"	10,133	"si"	10,573	"si"
"mujer"	20	8	162	54	"Castellon"	3	20	"pilates"	12,03	"no"	11,582	"no"
"mujer"	20	1	161	48	"Castellon"	5	60	"pilates"	10,464	"si"	11,458	"no"
"mujer"	21	11	163	54	"Castellon"	7	10	"aparatos"	9,154	"no"	5,362	"no"
"mujer"	20	4	156	47	"Castellon"	9	25	"fitness"	8,435	"no"	13,922	"no"
"mujer"	20	8	165	62	"Castellon"	5	40	"yoga"	13,496	"no"	14,151	"no"
"mujer"	21	4	160	55	"Castellon"	4	30	"yoga"	11,639	"no"	7,436	"no"
"mujer"	20	10	152	51	"Castellon"	6	50	"pilates"	11,627	"no"	5,095	"no"
"mujer"	21	6	163	47	"Castellon"	7	45	"pilates"	10,249	"no"	8,404	"no"
"mujer"	21	1	161	46	"Castellon"	3	30	"fitness"	6,184	"no"	9,756	"no"
"mujer"	22	7	158	56	"Castellon"	5	20	"pilates"	11,543	"no"	8,295	"no"
"varon"	20	1	183	76	"Castellon"	5	15	"pilates"	8,346	"no"	5,672	"no"
"varon"	21	6	180	73	"Castellon"	5	15	"fitness"	11,229	"no"	11,805	"no"
"varon"	21	3	175	68	"Castellon"	7	10	"yoga"	9,856	"si"	9,054	"no"
"varon"	19	1	179	67	"Castellon"	7	30	"pilates"	5,544	"no"	7,241	"no"
"varon"	20	9	171	71	"Castellon"	3	13	"fitness"	9,49	"no"	11,628	"no"
"varon"	20	7	172	66	"Castellon"	3	20	"pilates"	12,106	"no"	7,282	"no"
