adverts	sales	airplay	attract
10,26	330,00	43,00	10,00
985,69	120,00	28,00	7,00
1445,56	360,00	35,00	7,00
1188,19	270,00	33,00	7,00
574,51	220,00	44,00	5,00
568,95	170,00	19,00	5,00
471,81	70,00	20,00	1,00
537,35	210,00	22,00	9,00
514,07	200,00	21,00	7,00
174,09	300,00	40,00	7,00
1720,81	290,00	32,00	7,00
611,48	70,00	20,00	2,00
251,19	150,00	24,00	8,00
97,97	190,00	38,00	6,00
406,81	240,00	24,00	7,00
265,40	100,00	25,00	5,00
1323,29	250,00	35,00	5,00
196,65	210,00	36,00	8,00
1326,60	280,00	27,00	8,00
1380,69	230,00	33,00	8,00
792,35	210,00	33,00	7,00
957,17	230,00	28,00	6,00
1789,66	320,00	30,00	9,00
656,14	210,00	34,00	7,00
613,70	230,00	49,00	7,00
313,36	250,00	40,00	8,00
336,51	60,00	20,00	4,00
1544,90	330,00	42,00	7,00
68,95	150,00	35,00	8,00
785,69	150,00	8,00	6,00
125,63	180,00	49,00	7,00
377,93	80,00	19,00	8,00
217,99	180,00	42,00	6,00
759,86	130,00	6,00	7,00
1163,44	320,00	36,00	6,00
842,96	280,00	32,00	7,00
125,18	200,00	28,00	6,00
236,60	130,00	25,00	8,00
669,81	190,00	34,00	8,00
612,23	150,00	21,00	6,00
922,02	230,00	34,00	7,00
50,00	310,00	63,00	7,00
2000,00	340,00	31,00	7,00
1054,03	240,00	25,00	7,00
385,05	180,00	42,00	7,00
1507,97	220,00	37,00	7,00
102,57	40,00	25,00	8,00
204,57	190,00	26,00	7,00
1170,92	290,00	39,00	7,00
689,55	340,00	46,00	7,00
784,22	250,00	36,00	6,00
405,91	190,00	12,00	4,00
179,78	120,00	2,00	8,00
607,26	230,00	29,00	8,00
1542,33	190,00	33,00	8,00
1112,47	210,00	28,00	7,00
856,99	170,00	10,00	6,00
836,33	310,00	38,00	7,00
236,91	90,00	19,00	4,00
1077,86	140,00	13,00	6,00
579,32	300,00	30,00	7,00
1500,00	340,00	38,00	8,00
731,36	170,00	22,00	8,00
25,69	100,00	23,00	6,00
391,75	200,00	22,00	9,00
234,00	80,00	20,00	7,00
275,70	100,00	18,00	6,00
56,90	70,00	37,00	7,00
255,12	50,00	16,00	8,00
566,50	240,00	32,00	8,00
102,57	160,00	26,00	5,00
250,57	290,00	53,00	9,00
68,59	140,00	28,00	7,00
642,79	210,00	32,00	7,00
1500,00	300,00	24,00	7,00
102,56	230,00	37,00	6,00
756,98	280,00	30,00	8,00
51,23	160,00	19,00	7,00
644,15	200,00	47,00	6,00
15,31	110,00	22,00	5,00
243,24	110,00	10,00	8,00
256,89	70,00	1,00	4,00
22,46	100,00	1,00	6,00
45,69	190,00	39,00	6,00
724,94	70,00	8,00	5,00
1126,46	360,00	38,00	7,00
1985,12	360,00	35,00	5,00
1837,52	300,00	40,00	5,00
135,99	120,00	22,00	7,00
237,70	150,00	27,00	8,00
976,64	220,00	31,00	6,00
1452,69	280,00	19,00	7,00
1600,00	300,00	24,00	9,00
268,60	140,00	1,00	7,00
900,89	290,00	38,00	8,00
982,06	180,00	26,00	6,00
201,36	140,00	11,00	6,00
746,02	210,00	34,00	6,00
1132,88	250,00	55,00	7,00
1000,00	250,00	5,00	7,00
75,90	120,00	34,00	6,00
1351,25	290,00	37,00	9,00
202,71	60,00	13,00	8,00
365,99	140,00	23,00	6,00
305,27	290,00	54,00	6,00
263,27	160,00	18,00	7,00
513,69	100,00	2,00	7,00
152,61	160,00	11,00	6,00
35,99	150,00	30,00	8,00
102,57	140,00	22,00	7,00
215,37	230,00	36,00	6,00
426,78	230,00	37,00	8,00
507,77	30,00	9,00	3,00
233,29	80,00	2,00	7,00
1035,43	190,00	12,00	8,00
102,64	90,00	5,00	9,00
526,14	120,00	14,00	7,00
624,54	150,00	20,00	5,00
912,35	230,00	57,00	6,00
215,99	150,00	19,00	8,00
561,96	210,00	35,00	7,00
474,76	180,00	22,00	5,00
231,52	140,00	16,00	7,00
678,60	360,00	53,00	7,00
70,92	10,00	4,00	6,00
1567,55	240,00	29,00	6,00
263,60	270,00	43,00	7,00
1423,57	290,00	26,00	7,00
715,68	220,00	28,00	7,00
777,24	230,00	37,00	8,00
509,43	220,00	32,00	5,00
964,11	240,00	34,00	7,00
583,63	260,00	30,00	7,00
923,37	170,00	15,00	7,00
344,39	130,00	23,00	7,00
1095,58	270,00	31,00	8,00
100,03	140,00	21,00	5,00
30,43	60,00	28,00	1,00
1080,34	210,00	18,00	7,00
799,90	210,00	28,00	7,00
1071,75	240,00	37,00	8,00
893,36	210,00	26,00	6,00
283,16	200,00	30,00	8,00
917,02	140,00	10,00	7,00
234,57	90,00	21,00	7,00
456,90	120,00	18,00	9,00
206,97	100,00	14,00	7,00
1294,10	360,00	38,00	7,00
826,86	180,00	36,00	6,00
564,16	150,00	32,00	7,00
192,61	110,00	9,00	5,00
10,65	90,00	39,00	5,00
45,69	160,00	24,00	7,00
42,57	230,00	45,00	7,00
20,46	40,00	13,00	8,00
635,19	60,00	17,00	6,00
1002,27	230,00	32,00	7,00
1177,05	230,00	23,00	6,00
507,64	120,00	0,00	6,00
215,69	150,00	35,00	5,00
526,48	120,00	26,00	6,00
26,90	60,00	19,00	6,00
883,88	280,00	26,00	7,00
9,10	120,00	53,00	8,00
103,57	230,00	29,00	8,00
169,58	230,00	28,00	7,00
429,50	40,00	17,00	6,00
223,64	140,00	26,00	8,00
145,59	360,00	42,00	8,00
985,97	210,00	17,00	6,00
500,92	260,00	36,00	8,00
226,65	250,00	45,00	7,00
1051,17	200,00	20,00	7,00
68,09	150,00	15,00	7,00
1547,16	250,00	28,00	8,00
393,77	100,00	27,00	6,00
804,28	260,00	17,00	8,00
801,58	210,00	32,00	8,00
450,56	290,00	46,00	9,00
26,60	220,00	47,00	8,00
179,06	70,00	19,00	1,00
345,69	110,00	22,00	8,00
295,84	250,00	55,00	9,00
2271,86	320,00	31,00	5,00
1134,58	300,00	39,00	8,00
601,43	180,00	21,00	6,00
45,30	180,00	36,00	6,00
759,52	200,00	21,00	7,00
832,87	320,00	44,00	7,00
56,89	140,00	27,00	7,00
709,40	100,00	16,00	6,00
56,90	120,00	33,00	6,00
767,13	230,00	33,00	8,00
503,17	150,00	21,00	7,00
700,93	250,00	35,00	9,00
910,85	190,00	26,00	7,00
888,57	240,00	14,00	6,00
800,62	250,00	34,00	6,00
1500,00	230,00	11,00	8,00
785,69	110,00	20,00	9,00
